x,y,z
465346.2967,4428505.6,2140.719226
465347.0424,4428526.741,2137.381759
465347.1693,4428550.119,2138.355457
465346.7883,4428573.678,2140.711135
465345.8192,4428595.768,2150.12983
465346.8524,4428617.964,2165.284615
465368.6872,4427967.62,2333.130698
465368.8062,4427990.605,2323.342586
465369.0098,4428012.438,2318.225833
465368.9094,4428034.61,2315.603117
465368.8572,4428057.023,2306.656448
465369.1509,4428079.355,2302.082615
465368.8525,4428102.503,2283.166488
465368.2898,4428124.336,2262.455267
465368.2988,4428146.721,2237.791198
465368.7136,4428168.8,2215.600766
465368.0379,4428191.51,2195.986624
465367.7864,4428214.186,2175.495613
465368.2044,4428236.972,2157.060216
465368.6681,4428258.826,2137.903384
465368.0137,4428280.961,2123.166537
465368.7481,4428302.935,2103.627717
465368.4952,4428326.314,2096.13948
465368.5437,4428348.639,2103.192042
465368.7231,4428370.212,2120.261243
465368.9492,4428393.138,2134.299505
465368.8982,4428416.179,2145.716413
465368.8034,4428438.303,2159.827192
465368.5821,4428460.984,2187.702647
465368.8623,4428482.835,2182.711168
465368.7943,4428505.549,2158.995054
465368.9688,4428527.278,2156.195439
465368.6084,4428550.322,2154.365889
465368.5339,4428573.889,2161.782604
465368.6296,4428594.824,2147.542165
465368.5258,4428617.321,2148.004529
465390.2353,4427967.105,2324.814272
465390.513,4427991.079,2312.959671
465390.6923,4428012.388,2306.793438
465390.2315,4428034.879,2303.022713
465390.56,4428056.571,2287.813019
465390.8285,4428079.3,2276.752001
465390.5723,4428101.437,2271.490447
465390.3063,4428124.377,2261.314205
465390.1683,4428146.535,2242.762364
465390.0738,4428169.842,2218.898758
465390.6871,4428191.378,2203.506473
465390.5956,4428214.221,2177.591246
465390.4705,4428236.736,2158.1873
465389.8581,4428259.002,2137.4438
465389.9547,4428281.304,2119.614477
465389.9984,4428303.015,2102.973955
465390.6825,4428326.729,2096.733989
465390.4236,4428348.841,2103.756715
465390.6004,4428369.984,2127.20073
465390.1294,4428393.772,2145.565674
465390.8576,4428415.571,2161.538528
465390.9495,4428438.134,2174.425273
465390.6813,4428460.607,2201.498638
465390.4573,4428482.838,2198.061674
465390.2626,4428505.585,2180.454194
465390.1731,4428527.684,2175.790663
465390.434,4428549.613,2172.223041
465390.1114,4428573.398,2178.724953
465390.712,4428594.985,2170.918374
465390.4523,4428616.753,2164.081797
465412.7495,4427966.992,2313.543983
465411.9597,4427991.06,2304.017786
465412.3078,4428012.268,2291.662175
465412.4555,4428035.312,2283.640802
465412.5658,4428056.759,2276.722796
465411.9972,4428079.385,2263.201133
465412.7322,4428101.266,2254.845937
465412.7505,4428124.417,2250.071252
465412.3841,4428146.584,2236.184436
465412.5225,4428170.055,2218.60835
465412.4742,4428191.684,2202.676951
465412.4754,4428214.23,2185.565294
465412.2392,4428236.272,2165.89975
465412.6417,4428259.154,2141.668389
465412.6109,4428281.491,2120.66588
465412.8172,4428302.396,2096.167629
465412.992,4428325.729,2097.222929
465412.4858,4428349.011,2104.643095
465412.9177,4428371.31,2132.328718
465412.9943,4428392.219,2151.752623
465412.6106,4428416.601,2169.544629
465412.3452,4428438.163,2183.453188
465412.7209,4428460.808,2206.335193
465412.349,4428482.936,2206.413279
465413.1092,4428505.701,2199.748375
465412.5762,4428527.786,2195.550588
465413.0269,4428550.358,2195.133365
465412.6961,4428572.598,2199.050792
465413.0475,4428596.421,2195.704671
465412.611,4428617.155,2180.623452
